"x"
"1" 8
"2" 10
"3" 2
"4" 2
"5" 2
"6" 2
"7" 2
"8" 2
"9" 2
"10" 2
"11" 2
"12" 2
"13" 2
"14" 2
"15" 2
"16" 2
"17" 2
"18" 2
"19" 2
"20" 2
"21" 2
"22" 2
"23" 2
"24" 2
"25" 2
"26" 2
"27" 2
"28" 2
"29" 2
"30" 2
"31" 2
"32" 2
"33" 2
"34" 2
"35" 2
"36" 2
"37" 2
"38" 2
"39" 2
"40" 2
"41" 2
"42" 2
"43" 2
"44" 2
"45" 2
"46" 2
"47" 2
"48" 2
"49" 2
"50" 2
"51" 2
"52" 2
"53" 2
"54" 2
"55" 2
"56" 2
"57" 2
"58" 2
"59" 2
"60" 2
"61" 2
"62" 2
"63" 2
"64" 2
"65" 2
"66" 1
"67" 1
"68" 1
"69" 1
"70" 11
"71" 11
"72" 11
"73" 11
"74" 4
"75" 6
"76" 5
"77" 3
"78" 3
"79" 3
"80" 7
"81" 7
"82" 7
"83" 7
"84" 7
"85" 7
"86" 7
"87" 7
"88" 7
"89" 7
"90" 12
"91" 7
"92" 7
"93" 9
"94" 9
"95" 0
